firstName,lastName,email,phone,designation,department,employmentType,joinDate,status
StaffFirst1,StaffLast1,staff1@example.com,+919700010000,Teacher,Academics,full-time,2010-01-10,inactive
StaffFirst2,StaffLast2,staff2@example.com,+919700010001,Administrator,Admin,part-time,2011-02-11,active
StaffFirst3,StaffLast3,staff3@example.com,+919700010002,Counselor,Finance,contract,2012-03-12,active
StaffFirst4,StaffLast4,staff4@example.com,+919700010003,Accountant,Support,full-time,2013-04-13,active
StaffFirst5,StaffLast5,staff5@example.com,+919700010004,Teacher,Academics,part-time,2014-05-14,active
StaffFirst6,StaffLast6,staff6@example.com,+919700010005,Administrator,Admin,contract,2015-06-15,active
StaffFirst7,StaffLast7,staff7@example.com,+919700010006,Counselor,Finance,full-time,2016-07-16,active
StaffFirst8,StaffLast8,staff8@example.com,+919700010007,Accountant,Support,part-time,2017-08-17,active
StaffFirst9,StaffLast9,staff9@example.com,+919700010008,Teacher,Academics,contract,2018-09-18,active
StaffFirst10,StaffLast10,staff10@example.com,+919700010009,Administrator,Admin,full-time,2019-01-10,active
StaffFirst11,StaffLast11,staff11@example.com,+919700010010,Counselor,Finance,part-time,2010-02-11,active
StaffFirst12,StaffLast12,staff12@example.com,+919700010011,Accountant,Support,contract,2011-03-12,active
StaffFirst13,StaffLast13,staff13@example.com,+919700010012,Teacher,Academics,full-time,2012-04-13,active
StaffFirst14,StaffLast14,staff14@example.com,+919700010013,Administrator,Admin,part-time,2013-05-14,active
StaffFirst15,StaffLast15,staff15@example.com,+919700010014,Counselor,Finance,contract,2014-06-15,active
StaffFirst16,StaffLast16,staff16@example.com,+919700010015,Accountant,Support,full-time,2015-07-16,active
StaffFirst17,StaffLast17,staff17@example.com,+919700010016,Teacher,Academics,part-time,2016-08-17,active
StaffFirst18,StaffLast18,staff18@example.com,+919700010017,Administrator,Admin,contract,2017-09-18,inactive
StaffFirst19,StaffLast19,staff19@example.com,+919700010018,Counselor,Finance,full-time,2018-01-10,active
StaffFirst20,StaffLast20,staff20@example.com,+919700010019,Accountant,Support,part-time,2019-02-11,active
StaffFirst21,StaffLast21,staff21@example.com,+919700010020,Teacher,Academics,contract,2010-03-12,active
StaffFirst22,StaffLast22,staff22@example.com,+919700010021,Administrator,Admin,full-time,2011-04-13,active
StaffFirst23,StaffLast23,staff23@example.com,+919700010022,Counselor,Finance,part-time,2012-05-14,active
StaffFirst24,StaffLast24,staff24@example.com,+919700010023,Accountant,Support,contract,2013-06-15,active
StaffFirst25,StaffLast25,staff25@example.com,+919700010024,Teacher,Academics,full-time,2014-07-16,active
StaffFirst26,StaffLast26,staff26@example.com,+919700010025,Administrator,Admin,part-time,2015-08-17,active
StaffFirst27,StaffLast27,staff27@example.com,+919700010026,Counselor,Finance,contract,2016-09-18,active
StaffFirst28,StaffLast28,staff28@example.com,+919700010027,Accountant,Support,full-time,2017-01-10,active
StaffFirst29,StaffLast29,staff29@example.com,+919700010028,Teacher,Academics,part-time,2018-02-11,active
StaffFirst30,StaffLast30,staff30@example.com,+919700010029,Administrator,Admin,contract,2019-03-12,active
StaffFirst31,StaffLast31,staff31@example.com,+919700010030,Counselor,Finance,full-time,2010-04-13,active
StaffFirst32,StaffLast32,staff32@example.com,+919700010031,Accountant,Support,part-time,2011-05-14,active
StaffFirst33,StaffLast33,staff33@example.com,+919700010032,Teacher,Academics,contract,2012-06-15,active
StaffFirst34,StaffLast34,staff34@example.com,+919700010033,Administrator,Admin,full-time,2013-07-16,active
StaffFirst35,StaffLast35,staff35@example.com,+919700010034,Counselor,Finance,part-time,2014-08-17,inactive
StaffFirst36,StaffLast36,staff36@example.com,+919700010035,Accountant,Support,contract,2015-09-18,active
StaffFirst37,StaffLast37,staff37@example.com,+919700010036,Teacher,Academics,full-time,2016-01-10,active
StaffFirst38,StaffLast38,staff38@example.com,+919700010037,Administrator,Admin,part-time,2017-02-11,active
StaffFirst39,StaffLast39,staff39@example.com,+919700010038,Counselor,Finance,contract,2018-03-12,active
StaffFirst40,StaffLast40,staff40@example.com,+919700010039,Accountant,Support,full-time,2019-04-13,active
StaffFirst41,StaffLast41,staff41@example.com,+919700010040,Teacher,Academics,part-time,2010-05-14,active
StaffFirst42,StaffLast42,staff42@example.com,+919700010041,Administrator,Admin,contract,2011-06-15,active
StaffFirst43,StaffLast43,staff43@example.com,+919700010042,Counselor,Finance,full-time,2012-07-16,active
StaffFirst44,StaffLast44,staff44@example.com,+919700010043,Accountant,Support,part-time,2013-08-17,active
StaffFirst45,StaffLast45,staff45@example.com,+919700010044,Teacher,Academics,contract,2014-09-18,active
StaffFirst46,StaffLast46,staff46@example.com,+919700010045,Administrator,Admin,full-time,2015-01-10,active
StaffFirst47,StaffLast47,staff47@example.com,+919700010046,Counselor,Finance,part-time,2016-02-11,active
StaffFirst48,StaffLast48,staff48@example.com,+919700010047,Accountant,Support,contract,2017-03-12,active
StaffFirst49,StaffLast49,staff49@example.com,+919700010048,Teacher,Academics,full-time,2018-04-13,active
StaffFirst50,StaffLast50,staff50@example.com,+919700010049,Administrator,Admin,part-time,2019-05-14,active
StaffFirst51,StaffLast51,staff51@example.com,+919700010050,Counselor,Finance,contract,2010-06-15,active
StaffFirst52,StaffLast52,staff52@example.com,+919700010051,Accountant,Support,full-time,2011-07-16,inactive
StaffFirst53,StaffLast53,staff53@example.com,+919700010052,Teacher,Academics,part-time,2012-08-17,active
StaffFirst54,StaffLast54,staff54@example.com,+919700010053,Administrator,Admin,contract,2013-09-18,active
StaffFirst55,StaffLast55,staff55@example.com,+919700010054,Counselor,Finance,full-time,2014-01-10,active
StaffFirst56,StaffLast56,staff56@example.com,+919700010055,Accountant,Support,part-time,2015-02-11,active
StaffFirst57,StaffLast57,staff57@example.com,+919700010056,Teacher,Academics,contract,2016-03-12,active
StaffFirst58,StaffLast58,staff58@example.com,+919700010057,Administrator,Admin,full-time,2017-04-13,active
StaffFirst59,StaffLast59,staff59@example.com,+919700010058,Counselor,Finance,part-time,2018-05-14,active
StaffFirst60,StaffLast60,staff60@example.com,+919700010059,Accountant,Support,contract,2019-06-15,active
StaffFirst61,StaffLast61,staff61@example.com,+919700010060,Teacher,Academics,full-time,2010-07-16,active
StaffFirst62,StaffLast62,staff62@example.com,+919700010061,Administrator,Admin,part-time,2011-08-17,active
StaffFirst63,StaffLast63,staff63@example.com,+919700010062,Counselor,Finance,contract,2012-09-18,active
StaffFirst64,StaffLast64,staff64@example.com,+919700010063,Accountant,Support,full-time,2013-01-10,active
StaffFirst65,StaffLast65,staff65@example.com,+919700010064,Teacher,Academics,part-time,2014-02-11,active
StaffFirst66,StaffLast66,staff66@example.com,+919700010065,Administrator,Admin,contract,2015-03-12,active
StaffFirst67,StaffLast67,staff67@example.com,+919700010066,Counselor,Finance,full-time,2016-04-13,active
StaffFirst68,StaffLast68,staff68@example.com,+919700010067,Accountant,Support,part-time,2017-05-14,active
StaffFirst69,StaffLast69,staff69@example.com,+919700010068,Teacher,Academics,contract,2018-06-15,inactive
StaffFirst70,StaffLast70,staff70@example.com,+919700010069,Administrator,Admin,full-time,2019-07-16,active
StaffFirst71,StaffLast71,staff71@example.com,+919700010070,Counselor,Finance,part-time,2010-08-17,active
StaffFirst72,StaffLast72,staff72@example.com,+919700010071,Accountant,Support,contract,2011-09-18,active
StaffFirst73,StaffLast73,staff73@example.com,+919700010072,Teacher,Academics,full-time,2012-01-10,active
StaffFirst74,StaffLast74,staff74@example.com,+919700010073,Administrator,Admin,part-time,2013-02-11,active
StaffFirst75,StaffLast75,staff75@example.com,+919700010074,Counselor,Finance,contract,2014-03-12,active
